epoch,categorical_accuracy,categorical_recall,loss,val_categorical_accuracy,val_categorical_recall,val_loss
0,0.90555555,0.21010245,0.27518782532266317,0.5,0.2815757393836975,704.3543090820312
1,1.0,0.29672658,0.0,0.5,0.30460602045059204,723.607421875
2,1.0,0.31073302,0.0,0.5,0.31289640069007874,722.0167846679688
3,1.0,0.3148867,0.0,0.5,0.31706109642982483,720.2050170898438
4,1.0,0.31847137,0.0,0.5,0.3198624849319458,718.3102416992188
5,1.0,0.32127097,0.0,0.5,0.3220900297164917,716.3583374023438
6,1.0,0.32280964,0.0,0.5,0.32346105575561523,714.3764038085938
7,1.0,0.32410935,0.0,0.5,0.3245941400527954,712.4114379882812
8,1.0,0.32513112,0.0,0.5,0.32569777965545654,710.8311157226562
9,1.0,0.32615596,0.0,0.5,0.3264949917793274,709.5812377929688
10,1.0,0.32680875,0.0,0.5,0.32712799310684204,708.351318359375
11,1.0,0.32739314,0.0,0.5,0.32766711711883545,707.1148071289062
12,1.0,0.32786974,0.0,0.5,0.3280846178531647,705.8972778320312
13,1.0,0.32828197,0.0,0.5,0.3284575343132019,704.689697265625
14,1.0,0.32860896,0.0,0.5,0.32874777913093567,703.4933471679688
15,1.0,0.3288764,0.0,0.5,0.3289959728717804,702.3383178710938
16,1.0,0.3291389,0.0,0.5,0.329262912273407,701.1915893554688
17,1.0,0.32935032,0.0,0.5,0.32946982979774475,700.0570678710938
18,1.0,0.32957897,0.0,0.5,0.32969576120376587,698.941162109375
19,1.0,0.32979956,0.0,0.5,0.32991284132003784,697.8765258789062
20,1.0,0.33000535,0.0,0.5,0.330081582069397,696.87841796875
21,1.0,0.3301619,0.0,0.5,0.33023160696029663,695.931640625
22,1.0,0.33030716,0.0,0.5,0.33037251234054565,695.0513305664062
23,1.0,0.33042723,0.0,0.5,0.33048659563064575,694.2299194335938
24,1.0,0.33055142,0.0,0.5,0.3306044638156891,693.4403686523438
25,1.0,0.33064178,0.0,0.5,0.3306806981563568,692.6416015625
26,1.0,0.33072704,0.0,0.5,0.330779105424881,691.8739624023438
27,1.0,0.3308212,0.0,0.5,0.330858051776886,691.1421508789062
28,1.0,0.33090284,0.0,0.5,0.33094900846481323,690.41748046875
29,1.0,0.33099112,0.0,0.5,0.3310270309448242,689.7046508789062
30,1.0,0.3310609,0.0,0.5,0.331093966960907,688.997802734375
31,1.0,0.33112636,0.0,0.5,0.3311595916748047,688.2938842773438
32,1.0,0.3311893,0.0,0.5,0.3312232196331024,687.5891723632812
33,1.0,0.33125627,0.0,0.5,0.33128923177719116,686.90087890625
34,1.0,0.3313211,0.0,0.5,0.3313465416431427,686.2145385742188
35,1.0,0.3313659,0.0,0.5,0.3313932716846466,685.5322265625
36,1.0,0.33142456,0.0,0.5,0.33144646883010864,684.8526000976562
37,1.0,0.33147293,0.0,0.5,0.3314943313598633,684.193359375
38,1.0,0.3315187,0.0,0.5,0.331539124250412,683.5404663085938
39,1.0,0.33156767,0.0,0.5,0.3315921425819397,682.890869140625
40,1.0,0.33161673,0.0,0.5,0.3316396176815033,682.2462768554688
41,1.0,0.33166674,0.0,0.5,0.33168599009513855,681.6043090820312
42,1.0,0.33170396,0.0,0.5,0.3317203223705292,680.97705078125
43,1.0,0.33173913,0.0,0.5,0.3317572772502899,680.3558349609375
44,1.0,0.33177426,0.0,0.5,0.3317907452583313,679.7300415039062
45,1.0,0.3318086,0.0,0.5,0.33182665705680847,679.0941772460938
46,1.0,0.33184305,0.0,0.5,0.3318595886230469,678.4515991210938
47,1.0,0.3318742,0.0,0.5,0.33188846707344055,677.8049926757812
48,1.0,0.3319009,0.0,0.5,0.3319137394428253,677.1535034179688
49,1.0,0.33192617,0.0,0.5,0.3319413959980011,676.5069580078125
50,1.0,0.33195335,0.0,0.5,0.3319647014141083,675.861328125
51,1.0,0.33197698,0.0,0.5,0.33199137449264526,675.2102661132812
52,1.0,0.33200234,0.0,0.5,0.332012802362442,674.5584106445312
53,1.0,0.33202547,0.0,0.5,0.3320367932319641,673.9019165039062
54,1.0,0.33204705,0.0,0.5,0.33205661177635193,673.2737426757812
55,1.0,0.33206746,0.0,0.5,0.3320790231227875,672.6355590820312
56,1.0,0.33208773,0.0,0.5,0.33209770917892456,671.9957885742188
57,1.0,0.33210886,0.0,0.5,0.3321220576763153,671.3309326171875
