,class,mapped
0,airfield,other
1,airplane_cabin,other
2,airport_terminal,other
3,alcove,
4,alley,other
5,amphitheater,other
6,amusement_arcade,other
7,amusement_park,other
8,apartment_building/outdoor,frontyard
9,aquarium,other
10,aqueduct,other
11,arcade,other
12,arch,other
13,archaelogical_excavation,other
14,archive,other
15,arena/hockey,other
16,arena/performance,other
17,arena/rodeo,other
18,army_base,other
19,art_gallery,other
20,art_school,other
21,art_studio,other
22,artists_loft,other
23,assembly_line,other
24,athletic_field/outdoor,other
25,atrium/public,other
26,attic,other
27,auditorium,other
28,auto_factory,other
29,auto_showroom,other
30,badlands,other
31,bakery/shop,other
32,balcony/exterior,other
33,balcony/interior,other
34,ball_pit,other
35,ballroom,other
36,bamboo_forest,other
37,bank_vault,other
38,banquet_hall,other
39,bar,other
40,barn,other
41,barndoor,other
42,baseball_field,other
43,basement,other
44,basketball_court/indoor,other
45,bathroom,bathroom
46,bazaar/indoor,other
47,bazaar/outdoor,other
48,beach,other
49,beach_house,other
50,beauty_salon,other
51,bedchamber,bedroom
52,bedroom,bedroom
53,beer_garden,other
54,beer_hall,other
55,berth,other
56,biology_laboratory,other
57,boardwalk,other
58,boat_deck,other
59,boathouse,other
60,bookstore,other
61,booth/indoor,other
62,botanical_garden,other
63,bow_window/indoor,other
64,bowling_alley,other
65,boxing_ring,other
66,bridge,other
67,building_facade,frontyard
68,bullring,other
69,burial_chamber,other
70,bus_interior,other
71,bus_station/indoor,other
72,butchers_shop,other
73,butte,other
74,cabin/outdoor,other
75,cafeteria,other
76,campsite,other
77,campus,other
78,canal/natural,other
79,canal/urban,other
80,candy_store,other
81,canyon,other
82,car_interior,other
83,carrousel,other
84,castle,other
85,catacomb,other
86,cemetery,other
87,chalet,frontyard
88,chemistry_lab,other
89,childs_room,bedroom
90,church/indoor,other
91,church/outdoor,other
92,classroom,other
93,clean_room,bedroom
94,cliff,other
95,closet,bedroom
96,clothing_store,other
97,coast,other
98,cockpit,other
99,coffee_shop,other
100,computer_room,other
101,conference_center,other
102,conference_room,other
103,construction_site,other
104,corn_field,other
105,corral,other
106,corridor,other
107,cottage,frontyard
108,courthouse,frontyard
109,courtyard,frontyard
110,creek,other
111,crevasse,other
112,crosswalk,other
113,dam,other
114,delicatessen,other
115,department_store,other
116,desert/sand,other
117,desert/vegetation,other
118,desert_road,other
119,diner/outdoor,dining_room
120,dining_hall,dining_room
121,dining_room,dining_room
122,discotheque,other
123,doorway/outdoor,frontyard
124,dorm_room,bedroom
125,downtown,other
126,dressing_room,bedroom
127,driveway,other
128,drugstore,other
129,elevator/door,other
130,elevator_lobby,other
131,elevator_shaft,other
132,embassy,other
133,engine_room,other
134,entrance_hall,other
135,escalator/indoor,other
136,excavation,other
137,fabric_store,other
138,farm,other
139,fastfood_restaurant,other
140,field/cultivated,other
141,field/wild,other
142,field_road,other
143,fire_escape,other
144,fire_station,other
145,fishpond,other
146,flea_market/indoor,other
147,florist_shop/indoor,other
148,food_court,other
149,football_field,other
150,forest/broadleaf,other
151,forest_path,other
152,forest_road,other
153,formal_garden,other
154,fountain,other
155,galley,other
156,garage/indoor,other
157,garage/outdoor,other
158,gas_station,other
159,gazebo/exterior,other
160,general_store/indoor,other
161,general_store/outdoor,other
162,gift_shop,other
163,glacier,other
164,golf_course,other
165,greenhouse/indoor,other
166,greenhouse/outdoor,other
167,grotto,other
168,gymnasium/indoor,other
169,hangar/indoor,other
170,hangar/outdoor,other
171,harbor,other
172,hardware_store,other
173,hayfield,other
174,heliport,other
175,highway,other
176,home_office,livingRoom
177,home_theater,livingRoom
178,hospital,other
179,hospital_room,bedroom
180,hot_spring,other
181,hotel/outdoor,other
182,hotel_room,bedroom
183,house,frontyard
184,hunting_lodge/outdoor,other
185,ice_cream_parlor,other
186,ice_floe,other
187,ice_shelf,other
188,ice_skating_rink/indoor,other
189,ice_skating_rink/outdoor,other
190,iceberg,other
191,igloo,other
192,industrial_area,other
193,inn/outdoor,other
194,islet,other
195,jacuzzi/indoor,other
196,jail_cell,other
197,japanese_garden,other
198,jewelry_shop,other
199,junkyard,other
200,kasbah,frontyard
201,kennel/outdoor,other
202,kindergarden_classroom,other
203,kitchen,kitchen
204,lagoon,other
205,lake/natural,other
206,landfill,other
207,landing_deck,other
208,laundromat,other
209,lawn,other
210,lecture_room,livingRoom
211,legislative_chamber,other
212,library/indoor,other
213,library/outdoor,other
214,lighthouse,other
215,living_room,livingRoom
216,loading_dock,other
217,lobby,livingRoom
218,lock_chamber,other
219,locker_room,other
220,mansion,other
221,manufactured_home,frontyard
222,market/indoor,other
223,market/outdoor,other
224,marsh,other
225,martial_arts_gym,other
226,mausoleum,other
227,medina,other
228,mezzanine,other
229,moat/water,other
230,mosque/outdoor,other
231,motel,other
232,mountain,other
233,mountain_path,other
234,mountain_snowy,other
235,movie_theater/indoor,other
236,museum/indoor,other
237,museum/outdoor,other
238,music_studio,other
239,natural_history_museum,other
240,nursery,other
241,nursing_home,other
242,oast_house,other
243,ocean,other
244,office,other
245,office_building,other
246,office_cubicles,livingRoom
247,oilrig,other
